OF,Tc_K,M_mean_kgkmol,gamma,c_star_mps,Me,epsilon,Cf,Isp_s
11.45,2952.0,28.3016,1.2455,1269.7,3.0101,5.9788,1.5192,196.69
11.50,2949.5,28.3082,1.2456,1268.9,3.0102,5.9777,1.5191,196.56
11.55,2946.9,28.3148,1.2457,1268.1,3.0103,5.9767,1.5191,196.43
11.60,2944.4,28.3212,1.2458,1267.3,3.0104,5.9756,1.5190,196.31
11.65,2941.9,28.3277,1.2459,1266.6,3.0105,5.9746,1.5190,196.18
11.70,2939.4,28.3340,1.2460,1265.8,3.0105,5.9735,1.5189,196.06
11.75,2936.9,28.3403,1.2461,1265.0,3.0106,5.9724,1.5189,195.93
11.80,2934.4,28.3465,1.2462,1264.2,3.0107,5.9714,1.5189,195.81
11.85,2931.9,28.3526,1.2463,1263.5,3.0108,5.9704,1.5188,195.68
11.90,2929.5,28.3587,1.2464,1262.7,3.0109,5.9693,1.5188,195.56
11.95,2927.0,28.3647,1.2465,1262.0,3.0110,5.9683,1.5187,195.44
12.00,2924.5,28.3706,1.2467,1261.2,3.0111,5.9672,1.5187,195.32
12.05,2922.1,28.3765,1.2468,1260.5,3.0112,5.9662,1.5187,195.19
12.10,2919.7,28.3823,1.2469,1259.7,3.0113,5.9652,1.5186,195.07
12.15,2917.2,28.3880,1.2470,1259.0,3.0114,5.9642,1.5186,194.95
12.20,2914.8,28.3937,1.2471,1258.2,3.0115,5.9631,1.5185,194.83
12.25,2912.4,28.3993,1.2472,1257.5,3.0116,5.9621,1.5185,194.71
12.30,2910.0,28.4049,1.2473,1256.8,3.0116,5.9611,1.5185,194.60
12.35,2907.6,28.4104,1.2474,1256.0,3.0117,5.9601,1.5184,194.48
12.40,2905.2,28.4158,1.2475,1255.3,3.0118,5.9591,1.5184,194.36
12.45,2902.8,28.4212,1.2476,1254.6,3.0119,5.9581,1.5183,194.24
12.50,2900.4,28.4265,1.2477,1253.9,3.0120,5.9571,1.5183,194.13
12.55,2898.1,28.4318,1.2478,1253.1,3.0121,5.9561,1.5183,194.01
12.60,2895.7,28.4370,1.2479,1252.4,3.0122,5.9551,1.5182,193.90
12.65,2893.4,28.4421,1.2480,1251.7,3.0123,5.9541,1.5182,193.78
12.70,2891.0,28.4472,1.2481,1251.0,3.0124,5.9531,1.5181,193.67
12.75,2888.7,28.4523,1.2482,1250.3,3.0124,5.9521,1.5181,193.55
12.80,2886.4,28.4573,1.2483,1249.6,3.0125,5.9511,1.5181,193.44
12.85,2884.0,28.4622,1.2484,1248.9,3.0126,5.9501,1.5180,193.33
12.90,2881.7,28.4671,1.2485,1248.2,3.0127,5.9492,1.5180,193.21
12.95,2879.4,28.4720,1.2486,1247.5,3.0128,5.9482,1.5180,193.10
13.00,2877.1,28.4768,1.2487,1246.8,3.0129,5.9472,1.5179,192.99
13.05,2874.9,28.4815,1.2488,1246.1,3.0130,5.9463,1.5179,192.88
13.10,2872.6,28.4862,1.2489,1245.5,3.0130,5.9453,1.5178,192.77
13.15,2870.3,28.4909,1.2490,1244.8,3.0131,5.9443,1.5178,192.66
13.20,2868.1,28.4955,1.2491,1244.1,3.0132,5.9434,1.5178,192.55
13.25,2865.8,28.5000,1.2492,1243.4,3.0133,5.9424,1.5177,192.44
13.30,2863.6,28.5045,1.2493,1242.8,3.0134,5.9415,1.5177,192.33
13.35,2861.3,28.5090,1.2494,1242.1,3.0135,5.9405,1.5177,192.23
13.40,2859.1,28.5134,1.2495,1241.4,3.0136,5.9396,1.5176,192.12
13.45,2856.9,28.5178,1.2496,1240.8,3.0136,5.9386,1.5176,192.01
13.50,2854.7,28.5221,1.2497,1240.1,3.0137,5.9377,1.5175,191.90
13.55,2852.5,28.5264,1.2498,1239.5,3.0138,5.9368,1.5175,191.80
13.60,2850.3,28.5307,1.2499,1238.8,3.0139,5.9359,1.5175,191.69
13.65,2848.1,28.5349,1.2500,1238.2,3.0140,5.9349,1.5174,191.59
13.70,2845.9,28.5390,1.2501,1237.5,3.0141,5.9340,1.5174,191.48
13.75,2843.7,28.5432,1.2502,1236.9,3.0141,5.9331,1.5174,191.38
13.80,2841.6,28.5473,1.2503,1236.2,3.0142,5.9322,1.5173,191.28
13.85,2839.4,28.5513,1.2504,1235.6,3.0143,5.9312,1.5173,191.17
13.90,2837.3,28.5553,1.2505,1235.0,3.0144,5.9303,1.5173,191.07
13.95,2835.1,28.5593,1.2506,1234.3,3.0145,5.9294,1.5172,190.97
14.00,2833.0,28.5632,1.2507,1233.7,3.0145,5.9285,1.5172,190.87
14.05,2830.9,28.5671,1.2508,1233.1,3.0146,5.9276,1.5172,190.76
14.10,2828.7,28.5710,1.2509,1232.5,3.0147,5.9267,1.5171,190.66
14.15,2826.6,28.5748,1.2510,1231.8,3.0148,5.9258,1.5171,190.56
14.20,2824.5,28.5786,1.2511,1231.2,3.0149,5.9249,1.5170,190.46
14.25,2822.4,28.5823,1.2511,1230.6,3.0149,5.9241,1.5170,190.36
14.30,2820.3,28.5860,1.2512,1230.0,3.0150,5.9232,1.5170,190.26
14.35,2818.3,28.5897,1.2513,1229.4,3.0151,5.9223,1.5169,190.17
14.40,2816.2,28.5934,1.2514,1228.8,3.0152,5.9214,1.5169,190.07
14.45,2814.1,28.5970,1.2515,1228.2,3.0153,5.9205,1.5169,189.97
14.50,2812.1,28.6005,1.2516,1227.6,3.0153,5.9197,1.5168,189.87
14.55,2810.0,28.6041,1.2517,1227.0,3.0154,5.9188,1.5168,189.78
14.60,2808.0,28.6076,1.2518,1226.4,3.0155,5.9179,1.5168,189.68
14.65,2806.0,28.6111,1.2519,1225.8,3.0156,5.9171,1.5167,189.58
14.70,2803.9,28.6145,1.2520,1225.2,3.0156,5.9162,1.5167,189.49
14.75,2801.9,28.6180,1.2521,1224.6,3.0157,5.9153,1.5167,189.39
14.80,2799.9,28.6213,1.2522,1224.0,3.0158,5.9145,1.5166,189.30
14.85,2797.9,28.6247,1.2522,1223.4,3.0159,5.9136,1.5166,189.20
14.90,2795.9,28.6280,1.2523,1222.8,3.0159,5.9128,1.5166,189.11
14.95,2793.9,28.6313,1.2524,1222.3,3.0160,5.9119,1.5165,189.01
15.00,2791.9,28.6346,1.2525,1221.7,3.0161,5.9111,1.5165,188.92
